iter	Passed	Remaining
0	293	146454
1	667	166212
2	1074	178060
3	1501	186234
4	1923	190390
5	2353	193772
6	2846	200479
7	3274	201385
8	3709	202353
9	4107	201282
10	4465	198502
11	4837	196721
12	5164	193477
13	5496	190817
14	5803	187650
15	6119	185113
16	6467	183749
17	6720	179963
18	6986	176861
19	7205	172934
20	7410	169038
21	7653	166279
22	7843	162670
23	8121	161067
24	8306	157832
25	8541	155714
26	8810	154345
27	9006	151817
28	9250	150244
29	9446	147989
30	9677	146418
31	9846	143998
32	10098	142915
33	10399	142535
34	10619	141090
35	10866	140051
36	11025	137963
37	11278	137121
38	11513	136099
39	11705	134612
40	11926	133515
41	12102	131978
42	12262	130323
43	12578	130359
44	12822	129647
45	13073	129032
46	13287	128069
47	13472	126866
48	13717	126252
49	13865	124787
50	14113	124250
51	14386	123948
52	14623	123336
53	14842	122588
54	15097	122149
55	15298	121298
56	15461	120168
57	15728	119860
58	15906	118896
59	16126	118257
60	16328	117514
61	16498	116554
62	16734	116080
63	16933	115356
64	17218	115232
65	17430	114620
66	17705	114423
67	17930	113910
68	18237	113917
69	18441	113282
70	18633	112589
71	18884	112255
72	19075	111577
73	19278	110982
74	19442	110176
75	19745	110158
76	19954	109619
77	20141	108970
78	20419	108817
79	20578	108038
80	20806	107629
81	20956	106826
82	21176	106392
83	21410	106030
84	21699	105943
85	21902	105438
86	22146	105133
87	22334	104567
88	22546	104120
89	22795	103845
90	23010	103422
91	23185	102821
92	23403	102423
93	23635	102086
94	23880	101807
95	24041	101176
96	24257	100782
97	24446	100280
98	24668	99917
99	24867	99469
100	25097	99149
101	25301	98725
102	25528	98395
103	25714	97911
104	25952	97631
105	26163	97248
106	26359	96814
107	26597	96537
108	26825	96228
109	27097	96071
110	27251	95502
111	27409	94952
112	27655	94712
113	27811	94167
114	28008	93767
115	28252	93524
116	28461	93168
117	28730	93009
118	28961	92725
119	29213	92509
120	29451	92250
121	29655	91884
122	29862	91528
123	30042	91097
124	30283	90850
125	30454	90397
126	30632	89967
127	30810	89543
128	31065	89344
129	31292	89063
130	31494	88714
131	31663	88274
132	31887	87990
133	32117	87724
134	32346	87455
135	32501	86989
136	32793	86891
137	32991	86544
138	33249	86353
139	33404	85897
140	33694	85788
141	33938	85562
142	34212	85411
143	34421	85096
144	34581	84665
145	34794	84365
146	35072	84220
147	35212	83749
148	35423	83447
149	35646	83174
150	35845	82848
151	36074	82592
152	36232	82174
153	36468	81935
154	36686	81657
155	36934	81445
156	37144	81150
157	37320	80782
158	37497	80418
159	37757	80235
160	37976	79961
161	38224	79752
162	38440	79476
163	38687	79262
164	38937	79054
165	39214	78900
166	39401	78566
167	39589	78236
168	39825	78002
169	40058	77761
170	40237	77415
171	40456	77150
172	40667	76869
173	40830	76499
174	41040	76218
175	41306	76041
176	41461	75661
177	41672	75385
178	41833	75019
179	42132	74902
180	42311	74571
181	42561	74365
182	42730	74019
183	42912	73697
184	43140	73454
185	43424	73307
186	43625	73020
187	43863	72795
188	44046	72479
189	44304	72286
190	44483	71965
191	44648	71623
192	44841	71328
193	45113	71158
194	45352	70936
195	45578	70692
196	45787	70424
197	45975	70124
198	46175	69843
199	46382	69573
200	46617	69346
201	46764	68988
202	46973	68725
203	47218	68513
204	47452	68285
205	47654	68011
206	47813	67678
207	47991	67372
208	48162	67059
209	48370	66797
210	48512	66446
211	48807	66304
212	48969	65982
213	49137	65669
214	49338	65402
215	49542	65139
216	49746	64877
217	49943	64606
218	50188	64396
219	50365	64101
220	50576	63849
221	50761	63566
222	51021	63376
223	51231	63124
224	51455	62889
225	51665	62638
226	51863	62373
227	52055	62100
228	52294	61885
229	52506	61638
230	52768	61449
231	53072	61308
232	53273	61047
233	53489	60804
234	53656	60506
235	53869	60261
236	54041	59970
237	54302	59777
238	54549	59570
239	54769	59333
240	54991	59098
241	55235	58887
242	55443	58637
243	55606	58341
244	55801	58079
245	56036	57858
246	56286	57653
247	56515	57427
248	56720	57176
249	56943	56943
250	57193	56737
251	57394	56483
